requirementId,disposition,baseline,acceptance,currentRequirement
SF-IMP-01,unchanged,Lite 1.0,T24,"As a producer, I can validate then commit a definition candidate with a digest/revision guard; invalid candidates show path/ID diagnostics and never publish automatically."
SF-IMP-02,unchanged,Lite 1.0,T21,"As an administrator, imports reject unsafe code, remote fetch instructions, duplicate keys, incompatible capabilities and excessive size/depth before expensive processing."
SF-IMP-03,unchanged,Lite 1.0,"T07, T24","As an author, importing/updating preserves approved identities and dependencies; copying remaps them explicitly; export/import round trips preserve supported semantics."
SF-IMP-04,unchanged,Lite 1.0,"T20, T21, T24","As a security owner, candidate expiry, tenant/actor binding, trusted approvals and effective policy are enforced at commit and publish, not trusted from JSON."
SF-SEC-01,unchanged,Lite 1.0,T20,"As an organization, my definitions, sessions, answers, attachments, jobs, exports and integrations remain isolated across tenants even with guessed IDs or concurrent requests."
SF-SEC-02,unchanged,Lite 1.0,T20,"As an administrator, least-privilege roles/scopes, secret storage, revocation, CSRF/CSP/session protections and audit apply equally to UI/API/background work."
SF-SEC-03,unchanged,Lite 1.0,"T20, T23","As a policy owner, I can configure retention/deletion/holds and verify expiry, backup-restore deletion handling and derivative cleanup without false success."
SF-SEC-04,unchanged,Lite 1.0,"T11, T20","As a respondent, sensitive hidden answers, voice and logs follow explicit minimization/consent policy; readable forms remain available without provider consent."
SF-SEC-05,unchanged,Lite 1.0,"T18, T20","As an auditor, I can trace publication, access, export, permissions and integration actions with correlation and revision evidence, subject to retention and redaction."
SF-SEC-06,unchanged,Lite 1.0,"T15, T19, T21","As an operator, uploads and remote-provider/webhook connections are bounded, authorized and protected against malicious files, SSRF and data exfiltration."
SF-NFR-01,unchanged,Lite 1.0,T22,"As a user, the catalog/runtime/save/submit/compiler/export meet the measured thresholds above under the shared workload and declared resource budget."
SF-NFR-02,unchanged,Lite 1.0,"T21, T22","As an operator, configured limits are discoverable and enforced consistently; exceeding any limit produces a clear error without truncation or corruption."
SF-NFR-03,unchanged,Lite 1.0,"T17, T23","As an operator, restart/timeout/partial dependency failures preserve acknowledged data and idempotent outcomes; health, metrics, alerts and correlation IDs identify failures."
SF-NFR-04,unchanged,Lite 1.0,T23,"As an operator, backup/restore and deletion replay are documented and demonstrated with RPO/RTO measurements and tenant isolation after recovery."
SF-NFR-05,unchanged,Lite 1.0,"T11, T18, T22","As a product owner, I can see per-provider latency/error/cost and operational service-health metrics without collecting raw sensitive answers."
SF-UX-01,unchanged,Lite 1.0,"T02, T08, T09, T14, T19","As an author/respondent/operator, I can distinguish loading, empty, invalid, denied, expired and failed states and recover as specified without losing valid work."
SF-UX-02,unchanged,Lite 1.0,T25,"As a non-developer, I can complete the scripted author task after a 20-minute orientation; at least four of five independent trial users publish the fixture without code edits or facilitator intervention."
SF-UX-03,unchanged,Lite 1.0,T25,"As a respondent, I can complete the tested complex branch with help/review; at least four of five representative trial users finish without assistance and no critical answer-meaning errors. Report failures rather than claiming general usability from five users."
SF-EXT-01,unchanged,Lite 1.0,"T07, T26","As a developer, I can add a versioned composite control with editor/runtime/review/validation/localization/accessibility fixtures through the documented registry without altering the core response format."
SF-EXT-02,unchanged,Lite 1.0,"T07, T26","As an administrator, I can approve/pin/disable provider and component versions; missing/incompatible required dependencies fail safely and prior releases remain reproducible."
SF-EXT-03,unchanged,Lite 1.0,T26,"As a product owner, I receive an owned schema/engine/rule/authoring implementation with a dependency inventory proving no prebuilt form engine supplies those responsibilities. Supporting libraries are disclosed."
SF-EXT-04,unchanged,Lite 1.0,"T11, T26","As an extension developer, I can use documented speech and retained provider/component adapter contracts and conformance fixtures without learning private database or UI internals."
SF-OPS-01,added,new in Lite 1.1,"T32, T23","As an operator, I can start, bootstrap, use, stop, restart and restore the documented local stack without direct database provisioning, preserving acknowledged data and seeing accurate dependency readiness."
SF-CON-01,added,new in Lite 1.1,"T31, T10, T24","As a producer/consumer, I receive an explicit schema and evaluator contract on every package and pinned interpretation; unsupported or inconsistent versions fail before evaluation and an old package is never relabeled as compatible."
SF-CON-02,added,new in Lite 1.1,"T31, T04, T18, T24","As a respondent/exporter, every signed 64-bit integer remains exact through browser input, evaluation, storage, review, JSON and CSV. Typed integer wire values are canonical strings and overflow/invalid syntax are explicit failures."
